id,Sexe,Age,Continent,NbCafeSemaine,NbBiereSemaine,TransportFavori,PaiementFavori
638,M,35,AF,5,8,Train,PayPal
639,F,58,AS,2,17,Velo,Comptant
640,F,40,EU,20,5,Velo,Comptant
641,M,71,AN,9,5,Velo,Comptant
642,F,98,OC,19,8,Bateau,PayPal
643,F,79,AS,3,0,Voiture,PayPal
644,F,47,OC,1,0,Velo,Credit
645,M,39,OC,2,19,Avion,PayPal
646,M,64,OC,19,5,Voiture,Credit
647,F,68,AF,4,8,Metro,Credit
648,F,84,NA,21,20,Train,PayPal
649,M,96,SA,9,5,Velo,PayPal
650,F,26,EU,10,19,Bateau,Comptant
651,M,41,AN,1,8,Metro,Comptant
652,M,53,EU,12,12,Bateau,Credit
653,M,95,AS,6,16,Train,Credit
654,M,66,AS,19,14,Bateau,Credit
655,M,44,NA,4,18,Bateau,PayPal
656,F,80,AN,21,8,Avion,PayPal
657,M,60,OC,11,0,Bateau,Comptant
658,F,39,SA,19,11,Velo,PayPal
659,F,95,SA,19,9,Train,PayPal
660,M,84,AF,7,0,Train,Credit
661,F,95,AN,7,6,Bateau,PayPal
662,F,54,AS,20,2,Train,Credit
663,F,36,NA,13,4,Metro,Comptant
664,M,89,SA,12,5,Train,Comptant
665,F,26,NA,4,7,Train,PayPal
666,M,42,NA,9,18,Metro,Credit
667,F,66,AS,11,9,Train,Comptant
668,F,74,AS,14,12,Metro,Credit
669,M,68,OC,0,21,Bateau,PayPal
670,M,56,SA,4,9,Metro,Comptant
671,M,42,NA,0,11,Avion,Credit
672,M,53,AF,1,2,Train,PayPal
673,F,54,AF,15,6,Velo,Comptant
674,F,91,AN,8,8,Bateau,PayPal
675,M,75,NA,0,19,Velo,PayPal
676,F,45,EU,12,18,Velo,PayPal
677,F,29,AS,11,7,Bateau,Credit
678,F,97,AS,3,1,Bateau,Credit
679,M,78,EU,20,3,Bateau,Comptant
680,M,38,SA,20,8,Train,Comptant
681,M,47,AS,8,3,Velo,Credit
682,F,84,AS,14,20,Avion,PayPal
683,F,40,AS,13,7,Voiture,PayPal
684,F,29,AF,17,6,Bateau,Comptant
685,F,54,EU,15,9,Voiture,Comptant
686,M,21,OC,17,12,Voiture,Credit
687,M,42,OC,3,1,Voiture,Comptant
688,M,73,SA,14,10,Voiture,Comptant
689,M,61,AN,18,3,Voiture,Credit
690,M,88,NA,6,9,Voiture,Credit
691,M,77,NA,2,18,Bateau,Credit
692,F,34,EU,6,19,Velo,Comptant
693,F,94,SA,11,4,Avion,Comptant
694,M,88,NA,20,11,Avion,PayPal
695,M,85,AS,9,2,Train,Comptant
696,F,80,AF,10,16,Avion,Comptant
697,F,97,SA,2,7,Bateau,Comptant
698,F,25,AF,19,13,Metro,Comptant
699,F,74,AN,20,5,Metro,PayPal
700,M,83,EU,2,16,Velo,PayPal
701,F,27,AF,6,16,Avion,Credit
702,F,65,EU,3,10,Velo,Credit
703,M,26,SA,1,0,Avion,Comptant
704,F,40,AS,19,10,Velo,Credit
705,M,21,EU,15,4,Metro,PayPal
706,F,50,EU,1,4,Train,PayPal
707,M,84,NA,11,4,Train,Credit
708,F,48,NA,0,8,Metro,Comptant
709,M,49,SA,10,9,Bateau,Comptant
710,M,88,OC,2,12,Voiture,PayPal
711,M,58,AN,0,17,Avion,PayPal
712,M,41,AS,20,18,Voiture,Credit
713,M,76,OC,15,8,Voiture,Credit
714,F,89,SA,11,0,Velo,Comptant
715,F,33,EU,8,5,Metro,Credit
716,F,29,OC,20,3,Metro,Credit
717,F,76,EU,13,20,Train,PayPal
718,F,85,NA,17,17,Train,Credit
719,F,28,NA,1,7,Voiture,Credit
720,M,45,NA,8,9,Voiture,Credit
721,F,51,EU,4,13,Metro,Comptant
722,F,89,AS,5,4,Metro,Comptant
723,F,96,OC,8,7,Bateau,Credit
724,F,100,SA,16,19,Avion,Credit
725,M,98,NA,12,19,Metro,Credit
726,M,41,SA,12,14,Velo,Comptant
727,F,23,AN,16,16,Velo,Comptant
728,F,81,AF,20,5,Bateau,Credit
729,M,28,AN,6,15,Bateau,Comptant
730,M,21,SA,10,12,Avion,PayPal
731,F,26,NA,17,19,Avion,PayPal
732,F,96,SA,2,20,Bateau,Credit
733,F,56,NA,20,15,Train,PayPal
734,F,29,AN,16,15,Velo,PayPal
735,F,69,SA,1,19,Voiture,Credit
736,F,82,AF,20,21,Bateau,PayPal
737,M,56,NA,5,4,Metro,Comptant
738,F,59,OC,18,17,Velo,PayPal
739,F,35,NA,10,10,Bateau,Credit
740,M,88,AF,1,2,Metro,Comptant
741,F,45,NA,1,8,Bateau,Comptant
742,M,70,AS,9,17,Velo,Comptant
743,M,89,AN,11,10,Bateau,Credit
744,M,90,AS,12,7,Metro,Credit
745,F,21,EU,12,5,Avion,Comptant
746,F,94,AF,18,9,Bateau,Comptant
747,F,34,AS,12,18,Velo,Credit
748,F,31,AN,0,8,Bateau,Comptant
749,F,29,NA,3,19,Bateau,PayPal
750,F,43,OC,7,20,Avion,PayPal
751,M,36,AF,21,5,Voiture,Credit
752,F,47,SA,14,15,Voiture,Credit
753,M,38,OC,12,5,Voiture,Credit
754,M,46,SA,7,1,Avion,PayPal
755,F,61,NA,6,10,Avion,Comptant
756,F,22,NA,12,15,Metro,Comptant
757,M,62,AF,8,11,Train,PayPal
758,F,68,OC,7,15,Avion,Comptant
759,M,50,AF,14,0,Voiture,Comptant
760,F,22,SA,17,0,Avion,Comptant
761,M,55,AS,14,9,Voiture,PayPal
762,M,61,SA,1,2,Metro,Credit
763,F,41,NA,20,0,Metro,Credit
764,M,57,AF,21,3,Train,Credit
765,F,51,AS,9,2,Velo,Comptant
766,M,33,OC,1,5,Voiture,Comptant
767,M,39,SA,19,3,Train,PayPal
768,M,77,AN,3,4,Velo,PayPal
769,M,97,OC,20,0,Train,PayPal
770,M,96,AF,14,11,Voiture,Comptant
771,M,87,AS,5,11,Avion,Comptant
772,F,97,NA,16,10,Metro,Comptant
773,F,33,AN,9,12,Velo,PayPal
774,F,28,SA,15,1,Velo,PayPal
775,F,29,SA,5,15,Train,PayPal
776,F,30,NA,15,4,Train,Credit
777,M,32,AS,12,21,Avion,PayPal
778,M,78,OC,2,18,Bateau,Comptant
779,F,45,AF,18,11,Train,PayPal
780,M,35,AN,0,18,Bateau,PayPal
781,F,93,EU,18,1,Velo,Comptant
782,F,52,OC,9,11,Train,Credit
783,F,65,AS,13,14,Bateau,Credit
784,F,84,SA,3,1,Velo,Comptant
785,M,71,OC,2,10,Velo,PayPal
786,F,21,AF,10,7,Avion,Comptant
787,F,28,SA,9,10,Metro,Comptant
788,M,68,AN,6,17,Train,PayPal
789,M,38,AS,2,0,Train,Comptant
790,M,58,AS,3,6,Voiture,PayPal
791,F,22,EU,2,3,Bateau,Credit
792,F,39,NA,5,12,Avion,Comptant
793,F,70,EU,14,21,Metro,PayPal
794,F,56,AS,11,4,Avion,Credit
795,M,57,SA,7,15,Velo,Credit
796,M,29,AS,14,17,Metro,PayPal
797,F,32,AS,3,8,Avion,Credit
798,M,95,AF,17,8,Metro,PayPal
799,M,93,NA,1,21,Metro,PayPal
800,F,73,AF,17,2,Metro,Comptant
801,F,42,AN,10,17,Voiture,PayPal
802,M,91,EU,21,21,Train,Comptant
803,F,28,NA,12,21,Bateau,PayPal
804,M,88,EU,13,13,Voiture,Credit
805,M,41,OC,8,20,Bateau,PayPal
806,M,47,AS,15,4,Velo,Comptant
807,F,99,AS,1,15,Train,PayPal
808,F,30,AF,16,13,Velo,PayPal
809,F,52,OC,0,19,Velo,Credit
810,F,30,EU,3,4,Voiture,Credit
811,F,87,AS,7,9,Train,Credit
812,M,96,EU,21,9,Avion,Comptant
813,F,84,OC,12,20,Avion,Credit
814,M,74,OC,4,1,Train,Credit
815,M,48,OC,0,9,Avion,Comptant
816,F,40,NA,1,15,Velo,Credit
817,M,50,EU,12,19,Train,PayPal
818,M,42,AS,14,8,Metro,Comptant
819,M,62,NA,16,12,Metro,Credit
820,M,35,EU,16,13,Metro,PayPal
821,F,40,AF,20,6,Train,Credit
822,F,32,EU,12,14,Bateau,Credit
823,F,60,AN,15,9,Voiture,Comptant
824,F,38,EU,3,5,Train,PayPal
825,M,54,SA,11,21,Bateau,Comptant
826,M,47,EU,2,12,Train,Comptant
827,F,68,AF,8,3,Train,Comptant
828,M,29,AN,7,13,Velo,PayPal
829,F,26,EU,12,10,Metro,PayPal
830,F,32,AF,17,2,Metro,Credit
831,F,99,AF,14,15,Velo,PayPal
832,F,31,SA,12,8,Metro,Comptant
833,M,65,AN,20,3,Train,PayPal
834,M,69,EU,2,10,Voiture,Comptant
835,F,54,AN,17,14,Velo,Comptant
836,F,32,NA,20,12,Avion,Credit
837,F,93,EU,20,8,Bateau,PayPal
838,F,51,NA,9,14,Metro,PayPal
839,F,94,SA,4,13,Voiture,Credit
840,F,99,AS,14,0,Avion,PayPal
841,F,98,SA,5,17,Train,PayPal
842,F,86,OC,19,8,Voiture,PayPal
843,F,90,AS,19,12,Velo,Credit
844,F,23,AN,4,3,Train,Credit
845,F,61,AF,19,19,Train,Credit
846,M,31,AF,5,1,Train,Comptant
847,M,68,AN,15,17,Train,PayPal
848,M,73,AN,18,17,Voiture,PayPal
849,M,24,AF,6,2,Avion,PayPal
850,F,68,AF,3,13,Metro,Credit
851,M,65,NA,7,15,Avion,PayPal
852,M,52,OC,3,13,Voiture,Credit
853,M,29,NA,4,9,Velo,PayPal
854,M,37,NA,13,9,Voiture,Credit
855,M,73,OC,19,3,Velo,PayPal
856,M,76,SA,2,9,Bateau,PayPal
857,M,84,AN,18,1,Bateau,PayPal
858,F,37,OC,1,14,Train,Credit
859,M,64,AS,7,7,Voiture,Comptant
860,F,66,SA,15,14,Velo,Credit
861,F,47,EU,17,16,Train,Credit
862,M,99,AS,18,6,Avion,Comptant
863,F,52,AF,19,10,Bateau,Comptant
864,M,67,OC,5,14,Avion,Credit
865,F,97,AN,9,9,Metro,Credit
866,F,53,AS,5,14,Metro,Comptant
867,M,32,OC,13,16,Bateau,Credit
868,F,70,AF,6,0,Metro,Comptant
869,F,44,AF,7,6,Metro,Credit
870,M,100,OC,18,19,Avion,Credit
871,M,61,AN,3,17,Velo,Credit
872,F,68,SA,7,21,Train,PayPal
873,M,93,AF,9,13,Metro,Comptant
874,M,84,EU,17,19,Bateau,Comptant
875,F,63,SA,3,13,Train,Comptant
876,F,43,AF,12,11,Train,Credit
877,M,75,SA,6,5,Voiture,Credit
878,F,56,AF,12,20,Bateau,PayPal
879,F,90,AN,15,5,Bateau,Comptant
880,M,44,NA,7,9,Train,Credit
881,M,26,NA,1,8,Velo,Comptant
882,M,22,NA,1,15,Voiture,Comptant
883,M,86,EU,10,13,Metro,PayPal
884,F,70,AN,18,15,Avion,PayPal
885,M,55,NA,20,20,Train,Comptant
886,M,73,NA,0,15,Velo,PayPal
887,F,67,SA,8,13,Bateau,PayPal
888,F,25,AN,16,11,Velo,Credit
889,F,37,EU,7,9,Bateau,Credit
890,M,57,AF,9,0,Train,Credit
891,M,74,AN,21,16,Velo,Comptant
892,F,72,AS,14,15,Metro,Comptant
893,F,72,AF,17,3,Velo,PayPal
894,F,81,EU,18,8,Bateau,PayPal
895,M,67,AF,8,15,Velo,Credit
896,F,85,OC,17,11,Bateau,Comptant
897,F,96,AF,21,5,Train,PayPal
898,F,37,AN,9,13,Metro,PayPal
899,F,67,NA,0,0,Train,Credit
900,M,36,EU,19,5,Avion,Comptant
901,F,75,AN,8,0,Avion,Comptant
902,F,94,AN,7,1,Avion,Comptant
903,M,40,AS,10,20,Voiture,PayPal
904,F,29,OC,7,6,Train,Comptant
905,M,83,OC,16,10,Train,PayPal
906,M,89,SA,16,14,Train,PayPal
907,M,24,SA,18,13,Velo,PayPal
908,F,82,AN,21,2,Bateau,Comptant
909,M,32,OC,4,11,Avion,Comptant
910,M,70,AS,17,14,Train,Credit
911,F,50,SA,5,8,Avion,PayPal
912,F,40,AN,13,4,Avion,Credit
913,M,58,OC,5,2,Velo,Credit
914,F,91,AS,17,15,Metro,Credit
915,M,83,OC,16,19,Bateau,PayPal
916,F,73,AF,20,8,Bateau,Credit
917,F,97,OC,7,4,Metro,Credit
918,M,94,AN,15,13,Bateau,Comptant
919,M,66,OC,14,14,Bateau,Credit
920,M,55,AN,1,12,Bateau,Credit
921,M,36,NA,11,14,Velo,Credit
922,M,47,NA,11,17,Avion,PayPal
923,F,63,EU,6,3,Bateau,Comptant
924,F,46,AS,21,17,Train,Comptant
925,M,28,AN,6,1,Bateau,Comptant
926,M,62,AN,14,17,Metro,Credit
927,M,43,EU,9,13,Metro,PayPal
928,F,29,AF,1,14,Train,Comptant
929,F,59,SA,16,6,Train,PayPal
930,F,50,SA,21,0,Avion,Credit
931,M,92,AS,15,10,Bateau,PayPal
932,M,66,OC,2,17,Velo,PayPal
933,M,34,SA,19,7,Metro,PayPal
934,M,63,AF,13,2,Train,Comptant
935,M,34,AF,2,12,Metro,PayPal
936,F,63,SA,3,3,Metro,Credit
937,M,39,NA,20,7,Bateau,Comptant
938,M,90,AF,16,4,Metro,PayPal
939,F,95,NA,17,3,Avion,PayPal
940,F,50,OC,1,2,Bateau,Comptant
941,F,40,NA,9,12,Velo,Credit
942,M,27,OC,8,14,Train,PayPal
943,F,75,EU,11,15,Bateau,Credit
944,F,93,EU,8,11,Avion,Comptant
945,F,24,OC,4,16,Voiture,PayPal
946,F,82,EU,10,9,Train,PayPal
947,M,45,AN,13,10,Voiture,Credit
948,M,24,SA,9,19,Bateau,Credit
949,F,92,AF,6,10,Avion,Comptant
950,M,26,AF,5,5,Velo,Credit
951,F,31,SA,4,19,Metro,PayPal
952,M,33,SA,21,7,Avion,PayPal
953,F,52,OC,3,0,Train,Credit
954,F,62,AF,7,2,Avion,Credit
955,M,71,OC,3,0,Velo,Comptant
956,F,69,EU,2,10,Train,Comptant
957,M,58,AN,14,16,Velo,Comptant
958,F,37,OC,18,6,Voiture,PayPal
959,M,53,SA,16,20,Voiture,PayPal
960,M,54,EU,7,21,Train,Credit
961,F,29,OC,5,19,Bateau,Credit
962,M,92,AN,11,18,Voiture,PayPal
963,M,88,OC,17,11,Train,PayPal
964,M,25,OC,17,20,Voiture,PayPal
965,F,59,NA,13,16,Avion,Comptant
966,F,50,AN,11,4,Metro,Comptant
967,M,49,SA,16,15,Metro,Credit
968,F,91,AN,3,11,Velo,Comptant
969,F,64,SA,20,1,Train,Comptant
970,F,24,AN,20,17,Train,Comptant
971,F,61,EU,3,18,Bateau,PayPal
972,F,99,AS,6,14,Avion,PayPal
973,M,90,OC,9,19,Train,Credit
974,M,89,AF,16,14,Velo,PayPal
975,M,63,SA,13,18,Train,Credit
976,F,81,AN,1,20,Velo,PayPal
977,M,31,AF,10,1,Bateau,Comptant
978,F,48,NA,1,16,Velo,Credit
979,F,98,OC,8,18,Velo,Credit
980,M,27,AS,16,8,Velo,Comptant
981,F,48,EU,15,18,Avion,Comptant
982,M,41,SA,15,4,Avion,Comptant
983,M,60,SA,9,20,Bateau,PayPal
984,M,72,AN,13,16,Voiture,Credit
985,M,41,AN,12,21,Metro,Credit
986,F,55,SA,16,20,Avion,Comptant
987,F,89,AF,17,15,Metro,Comptant
988,M,81,OC,11,15,Metro,PayPal
989,M,77,AN,19,5,Voiture,Credit
990,F,27,AS,15,12,Avion,Comptant
991,F,84,AF,12,9,Bateau,Comptant
992,M,48,NA,21,14,Bateau,Credit
993,M,56,AF,1,1,Voiture,Credit
994,M,46,OC,16,17,Train,PayPal
995,F,93,AF,7,4,Metro,PayPal
996,M,38,NA,17,6,Train,Comptant
997,M,62,NA,15,21,Velo,Credit
998,F,82,AF,12,12,Train,PayPal
999,F,28,EU,17,0,Train,PayPal
1000,M,44,AS,9,15,Velo,PayPal
